"Created";"Commission";"Campaign Name";"Status";"Paid";"Client Name";"Client Email";"Product";"Referral Source";"Note for the FASTer Way Team"
"2026-07-10 10:38:17";"24.5";"VIP Membership";"A";"P";"Avery Calloway";"avery.calloway@example.org";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-07-08 04:29:27";"24.5";"VIP Membership";"A";"P";"Parker Jessup";"parker.jessup@example.net";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-07-06 04:32:22";"29.5";"VIP Membership";"A";"P";"Freya Whitfield";"freya.whitfield@example.org";"Pseudo VIP Mensual (renovación)";"Everly Northcott";""
"2026-07-05 17:58:25";"4.95";"Coach Discounted VIP";"A";"P";"Sutton Fitzgerald";"sutton.fitzgerald@example.net";"Pseudo Coach VIP";"Everly Northcott";""
"2026-06-30 01:37:00";"14.87";"Coach: Wellness";"A";"P";"Keaton Blackwood";"keaton.blackwood@example.org";"Pseudo Protein Blend";"Everly Northcott";""
"2026-06-26 23:35:38";"24.5";"VIP Membership";"A";"P";"Parker Fairbanks";"parker.fairbanks@example.com";"Pseudo VIP Discounted";"Everly Northcott";""
"2026-06-14 11:23:11";"19.5";"VIP Membership Scholarship Rate";"A";"P";"Declan Dunmore";"declan.dunmore@example.com";"Pseudo VIP Scholarship";"Parker Hollister";""
"2026-06-11 07:02:00";"14.87";"Coach: Wellness";"A";"P";"Nolan Hollister";"nolan.hollister@example.org";"Pseudo Protein Blend";"Everly Northcott";""
"2026-06-10 11:43:17";"24.5";"VIP Membership";"A";"P";"Avery Calloway";"avery.calloway@example.org";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-06-08 04:24:27";"24.5";"VIP Membership";"A";"P";"Parker Jessup";"parker.jessup@example.net";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-06-06 05:24:22";"29.5";"VIP Membership";"A";"P";"Freya Whitfield";"freya.whitfield@example.org";"Pseudo VIP Mensual (renovación)";"Everly Northcott";""
"2026-06-05 17:28:25";"4.95";"Coach Discounted VIP";"A";"P";"Sutton Fitzgerald";"sutton.fitzgerald@example.net";"Pseudo Coach VIP";"Everly Northcott";""
"2026-05-14 12:00:11";"19.5";"VIP Membership Scholarship Rate";"A";"P";"Declan Dunmore";"declan.dunmore@example.com";"Pseudo VIP Scholarship";"Parker Hollister";""
"2026-05-08 20:07:00";"10.62";"Coach: Consumables";"A";"P";"Nolan Hollister";"nolan.hollister@example.org";"Pseudo Hydration Mix";"Everly Northcott";""
"2026-05-08 03:32:27";"24.5";"VIP Membership";"A";"P";"Parker Jessup";"parker.jessup@example.net";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-05-06 04:32:22";"29.5";"VIP Membership";"A";"P";"Freya Whitfield";"freya.whitfield@example.org";"Pseudo VIP Mensual (renovación)";"Everly Northcott";""
"2026-05-05 17:57:25";"4.95";"Coach Discounted VIP";"A";"P";"Sutton Fitzgerald";"sutton.fitzgerald@example.net";"Pseudo Coach VIP";"Everly Northcott";""
"2026-04-28 00:33:00";"8.49";"Coach: Wellness";"A";"P";"Keaton Blackwood";"keaton.blackwood@example.org";"Pseudo Collagen Powder";"Everly Northcott";""
"2026-04-27 01:31:38";"24.5";"VIP Membership";"A";"P";"Parker Fairbanks";"parker.fairbanks@example.com";"Pseudo VIP Discounted";"Everly Northcott";""
"2026-04-14 12:04:11";"19.5";"VIP Membership Scholarship Rate";"A";"P";"Declan Dunmore";"declan.dunmore@example.com";"Pseudo VIP Scholarship";"Parker Hollister";""
"2026-04-08 02:03:27";"24.5";"VIP Membership";"A";"P";"Parker Jessup";"parker.jessup@example.net";"Pseudo VIP Discounted";"Parker Hollister";""
"2026-04-06 03:43:22";"29.5";"VIP Membership";"A";"P";"Freya Whitfield";"freya.whitfield@example.org";"Pseudo VIP Mensual (renovación)";"Everly Northcott";""
"2026-03-27 01:46:38";"24.5";"VIP Membership";"A";"P";"Parker Fairbanks";"parker.fairbanks@example.com";"Pseudo VIP Discounted";"Everly Northcott";""
"2026-03-14 11:53:11";"19.5";"VIP Membership Scholarship Rate";"A";"P";"Declan Dunmore";"declan.dunmore@example.com";"Pseudo VIP Scholarship";"Parker Hollister";""
"2026-02-27 01:21:38";"24.5";"VIP Membership";"A";"P";"Parker Fairbanks";"parker.fairbanks@example.com";"Pseudo VIP Discounted";"Everly Northcott";""
"2026-02-14 12:15:11";"19.5";"VIP Membership Scholarship Rate";"A";"P";"Declan Dunmore";"declan.dunmore@example.com";"Pseudo VIP Scholarship";"Parker Hollister";""
"2026-02-05 02:58:00";"8.75";"Coach: Wellness";"A";"P";"Keaton Blackwood";"keaton.blackwood@example.org";"Pseudo Creatine Scoop";"Everly Northcott";""
"2026-02-01 00:00:00";"20";"Coach: 5 day product";"A";"P";"Hayes Ravenscroft";"hayes.ravenscroft@example.org";"Pseudo 14-Day Reset";"Everly Northcott";""
"2026-01-27 00:31:38";"24.5";"VIP Membership";"A";"P";"Parker Fairbanks";"parker.fairbanks@example.com";"Pseudo VIP Discounted";"Everly Northcott";""
"2026-01-04 19:24:00";"8.75";"Coach: Wellness";"A";"P";"Keaton Blackwood";"keaton.blackwood@example.org";"Pseudo Creatine Scoop";"Everly Northcott";""
"2025-12-27 01:47:38";"24.5";"VIP Membership";"A";"P";"Parker Fairbanks";"parker.fairbanks@example.com";"Pseudo VIP Discounted";"Everly Northcott";""
"2025-11-27 01:19:38";"24.5";"VIP Membership";"A";"P";"Parker Fairbanks";"parker.fairbanks@example.com";"Pseudo VIP Discounted";"Everly Northcott";""
"2025-11-01 06:18:00";"8.49";"Coach: Wellness";"A";"P";"Nolan Hollister";"nolan.hollister@example.org";"Pseudo Collagen Powder";"Everly Northcott";""
