"Created","Commission","Order ID","Campaign Name","Status","Paid","Client Name","Client Email","Product","Referral Source","Note"
"2026-07-07 23:07:14","14.87","7500000060095(1)","Coach: Wellness","A","P","Finley Jessup","finley.jessup@example.net","Pseudo Protein Blend","Sutton Kingsley",""
"2026-07-07 22:17:59","7.9","7500000019926(1)","VIP Membership","A","P","Owen Calloway","owen.calloway@example.net","Pseudo VIP Starter Rate","Blair Montrose",""
"2026-07-07 00:57:58","29.5","7500000116282(1)","VIP Membership","A","P","Rosalind Calloway","rosalind.calloway@example.org","Pseudo VIP Mensual (renovación)","Sutton Kingsley",""
"2026-07-06 09:51:33","29.5","7500000025876(1)","VIP Membership","A","P","Sutton Cartwright","sutton.cartwright@example.net","Pseudo VIP Mensual (renovación)","Wren Calloway",""
"2026-07-06 03:34:59","4.95","7500000050971(1)","Coach Discounted VIP","A","P","Owen Whitfield","owen.whitfield@example.com","Pseudo Coach VIP","Sutton Kingsley",""
"2026-07-05 23:07:14","29.5","7500000059085(1)","VIP Membership","A","P","Finley Jessup","finley.jessup@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-07-05 09:13:13","19.5","7500000031906(1)","VIP Membership Scholarship Rate","A","P","Sloane Northcott","sloane.northcott@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-07-04 06:48:38","7.9","7500000079405(1)","VIP Membership","A","P","Sabine Sterling","sabine.sterling@example.com","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-07-03 02:58:02","4.95","7500000070129(1)","Coach Discounted VIP","A","P","Teagan Brennan","teagan.brennan@example.com","Pseudo Coach VIP","Maren Sinclair",""
"2026-07-03 02:25:07","24.5","7500000074856(1)","VIP Membership","A","P","Rory Dunmore","rory.dunmore@example.net","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-07-02 08:27:50","7.9","7500000023918(1)","VIP Membership","A","P","Wren Radcliffe","wren.radcliffe@example.net","Pseudo VIP Starter Rate","Elliot Fairbanks",""
"2026-07-02 08:24:28","29.5","7500000092048(1)","VIP Membership","A","P","Marlowe Radcliffe","marlowe.radcliffe@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-07-02 04:13:47","29.5","7500000004065(1)","VIP Membership","A","P","Quinn Ashcroft","quinn.ashcroft@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-07-01 15:58:22","7.9","7500000044727(1)","VIP Membership","A","P","Silas Ainsworth","silas.ainsworth@example.net","Pseudo VIP Starter Rate","Wren Calloway",""
"2026-07-01 05:04:12","7.9","285309","VIP Membership","A","P","Parker Fairbanks","parker.fairbanks@example.org","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-06-29 00:16:08","19.5","7500000122923(1)","VIP Membership Scholarship Rate","A","P","Maren Brennan","maren.brennan@example.net","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-28 12:50:01","0","7500000121001(1)","VIP Membership","A","P","Iris Sinclair","iris.sinclair@example.org","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-06-28 12:32:50","19.5","7500000047015(1)","VIP Membership Scholarship Rate","A","P","Rory Thackeray","rory.thackeray@example.org","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-28 11:26:05","4.95","7500000118594(1)","Coach Discounted VIP","A","P","Sawyer Larkspur","sawyer.larkspur@example.com","Pseudo Coach VIP","Sutton Kingsley",""
"2026-06-28 09:09:49","19.5","7500000114871(1)","VIP Membership Scholarship Rate","A","P","Parker Oakley","parker.oakley@example.net","Pseudo VIP Scholarship","Wren Calloway",""
"2026-06-28 07:13:18","3.07","7500000110211(1)","Coach Discounted VIP","A","P","Everly Ellsworth","everly.ellsworth@example.com","Pseudo Coach VIP","Sutton Kingsley",""
"2026-06-28 04:06:51","5.93","7500000106333(1)","VIP Membership","A","P","Rowan Blackwood","rowan.blackwood@example.com","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-06-28 00:18:14","19.5","7500000113043(1)","VIP Membership Scholarship Rate","A","P","Finley Yarrow","finley.yarrow@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-27 11:18:25","39.5","712746","VIP Membership","A","P","Blair Harrington","blair.harrington@example.net","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-06-22 18:00:00","24.5","7500000130059(1)","VIP Membership","A","U","Mabel Fairbanks","mabel.fairbanks@example.net","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-06-17 18:00:00","7.9","7500000127671(1)","VIP Membership","A","U","Elliot Cartwright","elliot.cartwright@example.com","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-06-15 05:26:00","8.49","7500000064274(1)","Coach: Wellness","A","P","Willa Fitzgerald","willa.fitzgerald@example.com","Pseudo Collagen Powder","Sutton Kingsley",""
"2026-06-14 19:39:32","4.95","7500000048512(1)","Coach Discounted VIP","A","P","Maren Ainsworth","maren.ainsworth@example.net","Pseudo Coach VIP","Sutton Kingsley",""
"2026-06-14 19:37:52","18.29","7500000037644(1)","VIP Membership","A","P","Sloane Pemberton","sloane.pemberton@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-06-14 12:42:44","0","7500000055968(1)","Coach Discounted VIP","A","P","Priya Montrose","priya.montrose@example.org","Pseudo Coach VIP","Sutton Kingsley",""
"2026-06-14 02:02:52","24.5","7500000053367(1)","VIP Membership","A","P","Wesley Winslow","wesley.winslow@example.com","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-06-13 20:31:02","7.9","7500000034977(1)","VIP Membership","A","P","Rowan Kingsley","rowan.kingsley@example.net","Pseudo VIP Starter Rate","Blair Montrose",""
"2026-06-12 20:22:26","39.5","7500000007230(1)","VIP Membership","A","P","Anouk Kingsley","anouk.kingsley@example.org","Pseudo VIP Monthly","Sutton Kingsley",""
"2026-06-12 19:20:12","0","cancel_426055_2026-06-12","Membership cancellations","A","P","Grayson Dunmore","grayson.dunmore@example.net","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-12 13:44:13","7.9","7500000118874(1)","VIP Membership","A","P","Wesley Lockhart","wesley.lockhart@example.net","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-06-12 10:30:33","22.12","7500000042206(1)","VIP Membership","A","P","Iris Thackeray","iris.thackeray@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-06-12 00:56:42","24.5","7500000084510(1)","VIP Membership","A","P","Camden Prescott","camden.prescott@example.com","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-06-11 19:21:53","0","cancel_435845_2026-06-11","Membership cancellations","A","P","Camden Pemberton","camden.pemberton@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-11 01:58:43","29.5","7500000056780(1)","VIP Membership","A","P","Priya Yarrow","priya.yarrow@example.com","Pseudo VIP Mensual - (renovación)","Elliot Fairbanks",""
"2026-06-11 01:05:49","19.5","7500000014785(1)","VIP Membership Scholarship Rate","A","P","Camden Underwood","camden.underwood@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-10 13:36:51","29.5","7500000098313(1)","VIP Membership","A","P","Odette Merrick","odette.merrick@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-06-10 09:43:59","7.9","7500000012643(1)","VIP Membership","A","P","Iris Winslow","iris.winslow@example.org","Pseudo VIP Starter Rate","Maren Sinclair",""
"2026-06-08 19:21:53","0","failed_435845_2026-06-08","Membership cancellations","A","P","Camden Pemberton","camden.pemberton@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-08 08:40:01","0","cancel_178908_2026-06-08","Membership cancellations","A","P","Maren Kingsley","maren.kingsley@example.net","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-08 06:34:46","0","cancel_309414_2026-06-08","Membership cancellations","A","P","Freya Dunmore","freya.dunmore@example.org","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-06-08 05:42:01","4.95","7500000066477(1)","Coach Discounted VIP","A","P","Esme Blackwood","esme.blackwood@example.net","Pseudo Coach VIP","Sutton Kingsley",""
"2026-06-08 02:55:02","29.5","7500000088543(1)","VIP Membership","A","P","Finley Underwood","finley.underwood@example.org","Pseudo VIP Mensual - (renovación)","Blair Montrose",""
"2026-06-07 20:56:59","7.9","7500000019084(1)","VIP Membership","A","P","Owen Calloway","owen.calloway@example.net","Pseudo VIP Starter Rate","Blair Montrose",""
"2026-06-07 01:48:58","29.5","7500000115674(1)","VIP Membership","A","P","Rosalind Calloway","rosalind.calloway@example.org","Pseudo VIP Mensual (renovación)","Sutton Kingsley",""
"2026-06-06 19:21:53","0","failed_435845_2026-06-06","Membership cancellations","A","P","Camden Pemberton","camden.pemberton@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-06 09:16:33","29.5","7500000025650(1)","VIP Membership","A","P","Sutton Cartwright","sutton.cartwright@example.net","Pseudo VIP Mensual (renovación)","Wren Calloway",""
"2026-06-06 03:05:59","4.95","7500000050429(1)","Coach Discounted VIP","A","P","Owen Whitfield","owen.whitfield@example.com","Pseudo Coach VIP","Sutton Kingsley",""
"2026-06-05 23:06:14","29.5","7500000059045(1)","VIP Membership","A","P","Finley Jessup","finley.jessup@example.net","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
"2026-06-05 08:40:01","0","failed_178908_2026-06-05","Membership cancellations","A","P","Maren Kingsley","maren.kingsley@example.net","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-05 08:05:13","19.5","7500000031790(1)","VIP Membership Scholarship Rate","A","P","Sloane Northcott","sloane.northcott@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-04 19:21:53","0","failed_435845_2026-06-04","Membership cancellations","A","P","Camden Pemberton","camden.pemberton@example.com","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-04 07:57:38","7.9","7500000079354(1)","VIP Membership","A","P","Sabine Sterling","sabine.sterling@example.com","Pseudo VIP Starter Rate","Sutton Kingsley",""
"2026-06-03 08:40:01","0","failed_178908_2026-06-03","Membership cancellations","A","P","Maren Kingsley","maren.kingsley@example.net","Pseudo VIP Scholarship","Sutton Kingsley",""
"2026-06-03 02:23:02","4.95","7500000069497(1)","Coach Discounted VIP","A","P","Teagan Brennan","teagan.brennan@example.com","Pseudo Coach VIP","Maren Sinclair",""
"2026-06-03 01:07:07","24.5","7500000074831(1)","VIP Membership","A","P","Rory Dunmore","rory.dunmore@example.net","Pseudo VIP Discounted","Sutton Kingsley",""
"2026-06-02 23:33:08","14.87","7500000123438(1)","Coach: Wellness","A","P","Maren Brennan","maren.brennan@example.net","Pseudo Protein Blend","Sutton Kingsley",""
"2026-06-02 23:33:08","14.87","7500000123438(1)","Coach: Wellness","A","P","Maren Brennan","maren.brennan@example.net","Pseudo Protein Blend","Sutton Kingsley",""
"2026-06-02 09:53:50","7.9","7500000023470(1)","VIP Membership","A","P","Wren Radcliffe","wren.radcliffe@example.net","Pseudo VIP Starter Rate","Elliot Fairbanks",""
"2026-06-02 08:16:28","29.5","7500000091557(1)","VIP Membership","A","P","Marlowe Radcliffe","marlowe.radcliffe@example.com","Pseudo VIP Mensual - (renovación)","Sutton Kingsley",""
